순위,지역,시도,시군구,종합점수,점수_산업성,점수_성장성,점수_수요성,유형,LQ,화물차,영업용화물,승용차,차량_총,화물차비율,영업용비중,화물차_증가율,인구_증가율,디커플링,가속도,추세지속성,영업용전환율,안정성,인구수,배후인구,면적,인구밀도,인구1천명당화물차
1,서울특별시 강동구,서울특별시,강동구,85.9,80.2,90.3,87.2,성장 중,1.327,39501,17858,149435,196861,20.07,45.21,14.01,0.03,13.98,3.39,1.0,0.56,0.96,496076,3589989,114.7,4325.0,79.6
2,대전광역시 서구,대전광역시,서구,79.6,80.4,72.6,85.7,성장 중,1.327,56622,18396,189835,281926,20.08,32.49,9.08,0.57,8.51,1.99,0.4,0.75,0.79,462784,1767624,44.7,10353.1,122.4
3,부산광역시 해운대구,부산광역시,해운대구,76.8,79.4,76.6,74.5,성장 중,1.401,44567,13112,131752,210345,21.19,29.42,15.89,-0.95,16.84,-2.11,0.79,0.62,0.84,368271,2261814,60.1,6127.6,121.0
4,경기도 광명시,경기도,광명시,74.9,94.9,39.8,90.0,성장 중,1.505,35383,23279,94407,155383,22.77,65.79,3.17,5.47,-2.3,1.55,0.49,0.5,0.55,302628,2266287,15.4,19651.2,116.9
5,서울특별시 서대문구,서울특별시,서대문구,73.8,83.0,68.1,70.4,성장 중,1.3,35980,14610,133512,182989,19.66,40.61,6.9,-0.46,7.36,-0.27,0.62,0.54,0.84,297212,1425642,85.9,3460.0,121.1
6,전북특별자치도 익산시,전북특별자치도,익산시,73.6,88.8,59.5,72.6,성장 중,1.518,31168,12129,85542,135682,22.97,38.91,7.85,-0.35,8.2,2.68,0.62,0.43,0.16,265649,2364807,111.5,2382.5,117.3
7,서울특별시 송파구,서울특별시,송파구,73.0,76.7,50.3,92.0,포화,1.504,71062,17876,220404,312391,22.75,25.16,0.66,0.57,0.09,-1.23,0.27,0.8,0.95,645569,4112388,89.1,7245.4,110.1
8,경기도 하남시,경기도,하남시,72.6,79.1,63.2,75.5,성장 중,1.446,32826,10008,101860,150070,21.87,30.49,7.13,-0.17,7.3,3.05,0.66,0.1,0.76,326217,1549763,74.0,4408.3,100.6
9,경기도 김포시,경기도,김포시,72.2,85.0,52.1,79.4,성장 중,1.695,72396,21480,185591,282340,25.64,29.67,5.74,-0.21,5.95,-1.22,0.47,0.35,0.81,481874,2337033,252.4,1909.2,150.2
10,대구광역시 수성구,대구광역시,수성구,71.3,68.7,67.8,77.5,성장 중,1.315,32429,9776,110832,162942,19.9,30.15,3.86,-0.38,4.24,5.09,0.7,0.35,0.87,406574,1441578,35.6,11420.6,79.8
11,강원특별자치도 원주시,강원특별자치도,원주시,70.9,75.7,65.5,71.5,성장 중,1.093,35120,16467,156693,212277,16.54,46.89,5.41,0.75,4.66,2.51,0.77,0.49,0.7,363895,1870263,613.8,592.9,96.5
12,대전광역시 유성구,대전광역시,유성구,69.9,83.8,40.3,85.6,성장 중,1.432,46148,15241,148729,212912,21.67,33.03,5.81,1.46,4.35,-3.09,0.6,0.24,0.56,370837,3318953,150.1,2470.6,124.4
13,경기도 이천시,경기도,이천시,69.4,84.7,61.9,61.6,성장 중,1.434,24039,8882,74697,110809,21.69,36.95,3.12,0.78,2.34,-0.08,0.86,0.51,0.83,225193,435250,125.5,1794.4,106.7
14,서울특별시 동대문구,서울특별시,동대문구,69.1,77.8,48.9,80.6,성장 중,1.53,49193,11063,147807,212540,23.15,22.49,4.02,2.79,1.23,-1.12,0.43,0.66,0.69,350942,2294492,213.7,1642.2,140.2
15,경기도 화성시,경기도,화성시,68.5,84.5,24.9,96.1,포화,1.308,94829,46859,347880,479195,19.79,49.41,-5.06,1.83,-6.89,-1.1,0.56,0.44,0.55,997198,7408961,99.0,10072.7,95.1
16,경기도 오산시,경기도,오산시,67.7,77.6,48.7,76.8,포화,1.371,27184,8216,87537,131053,20.74,30.22,0.15,3.09,-2.94,4.79,0.74,0.15,0.8,253712,1284118,63.8,3976.7,107.1
17,경기도 고양시 덕양구,경기도,고양시 덕양구,67.6,54.6,68.3,79.9,성장 중,1.048,36437,10805,162337,229670,15.86,29.65,6.74,-1.09,7.83,-1.79,0.75,0.62,0.79,480355,4236707,47.7,10070.3,75.9
18,서울특별시 영등포구,서울특별시,영등포구,67.1,78.8,48.2,74.2,포화,1.301,33198,13772,118534,168723,19.68,41.48,-1.91,-0.25,-1.66,0.73,0.59,0.74,0.72,368847,3201509,289.2,1275.4,90.0
