지역,연월,인구수,화물차수
강원특별자치도 강릉시,202307,209601,6205
강원특별자치도 강릉시,202308,209430,6359
강원특별자치도 강릉시,202309,209392,6524
강원특별자치도 강릉시,202310,209154,6660
강원특별자치도 강릉시,202311,208909,6972
강원특별자치도 강릉시,202312,208716,6964
강원특별자치도 강릉시,202401,208464,7138
강원특별자치도 강릉시,202402,208240,7165
강원특별자치도 강릉시,202403,208112,7330
강원특별자치도 강릉시,202404,207945,7340
강원특별자치도 강릉시,202405,207887,7589
강원특별자치도 강릉시,202406,207761,7699
강원특별자치도 강릉시,202407,207573,7834
강원특별자치도 강릉시,202408,207427,7924
강원특별자치도 강릉시,202409,207492,7926
강원특별자치도 강릉시,202410,207331,8057
강원특별자치도 강릉시,202411,207025,8242
강원특별자치도 강릉시,202412,207032,8373
강원특별자치도 강릉시,202501,206849,8186
강원특별자치도 강릉시,202502,206731,8545
강원특별자치도 강릉시,202503,206590,8686
강원특별자치도 강릉시,202504,206435,8755
강원특별자치도 강릉시,202505,206415,8799
강원특별자치도 강릉시,202506,206253,9051
강원특별자치도 강릉시,202507,206248,9229
강원특별자치도 강릉시,202508,206241,9484
강원특별자치도 강릉시,202509,206304,9457
강원특별자치도 강릉시,202510,206152,9700
강원특별자치도 강릉시,202511,205816,9693
강원특별자치도 강릉시,202512,205580,9980
강원특별자치도 강릉시,202601,205309,9687
강원특별자치도 강릉시,202602,205236,9824
강원특별자치도 강릉시,202603,205236,10272
강원특별자치도 강릉시,202604,205198,10176
강원특별자치도 강릉시,202605,205140,10453
강원특별자치도 강릉시,202606,205019,10489
강원특별자치도 강릉시,202607,204945,10616
강원특별자치도 고성군,202307,27230,1249
강원특별자치도 고성군,202308,27242,1280
강원특별자치도 고성군,202309,27257,1274
강원특별자치도 고성군,202310,27282,1254
강원특별자치도 고성군,202311,27246,1288
강원특별자치도 고성군,202312,27232,1324
강원특별자치도 고성군,202401,27222,1287
강원특별자치도 고성군,202402,27189,1273
강원특별자치도 고성군,202403,27150,1304
강원특별자치도 고성군,202404,27147,1337
강원특별자치도 고성군,202405,27123,1338
강원특별자치도 고성군,202406,27097,1345
강원특별자치도 고성군,202407,27072,1307
강원특별자치도 고성군,202408,27016,1317
강원특별자치도 고성군,202409,26988,1335
강원특별자치도 고성군,202410,26943,1378
강원특별자치도 고성군,202411,26955,1363
강원특별자치도 고성군,202412,26927,1348
강원특별자치도 고성군,202501,26851,1380
강원특별자치도 고성군,202502,26731,1350
강원특별자치도 고성군,202503,26745,1359
강원특별자치도 고성군,202504,26744,1403
강원특별자치도 고성군,202505,26758,1371
강원특별자치도 고성군,202506,26746,1442
강원특별자치도 고성군,202507,26713,1388
강원특별자치도 고성군,202508,26685,1404
강원특별자치도 고성군,202509,26710,1394
강원특별자치도 고성군,202510,26733,1381
강원특별자치도 고성군,202511,26724,1391
강원특별자치도 고성군,202512,26777,1442
강원특별자치도 고성군,202601,26779,1440
강원특별자치도 고성군,202602,26873,1449
강원특별자치도 고성군,202603,27006,1457
강원특별자치도 고성군,202604,27104,1448
강원특별자치도 고성군,202605,27122,1449
강원특별자치도 고성군,202606,27137,1443
강원특별자치도 고성군,202607,27121,1470
강원특별자치도 동해시,202307,88699,7764
강원특별자치도 동해시,202308,88614,7679
강원특별자치도 동해시,202309,88515,7735
강원특별자치도 동해시,202310,88408,7856
강원특별자치도 동해시,202311,88359,7708
강원특별자치도 동해시,202312,88270,7805
강원특별자치도 동해시,202401,88242,7876
강원특별자치도 동해시,202402,88029,7826
강원특별자치도 동해시,202403,87835,7819
강원특별자치도 동해시,202404,87752,7740
강원특별자치도 동해시,202405,87677,7699
강원특별자치도 동해시,202406,87653,7620
강원특별자치도 동해시,202407,87518,7765
강원특별자치도 동해시,202408,87447,7743
강원특별자치도 동해시,202409,87388,7753
강원특별자치도 동해시,202410,87404,7784
강원특별자치도 동해시,202411,87386,7764
강원특별자치도 동해시,202412,87350,7866
강원특별자치도 동해시,202501,87242,7663
강원특별자치도 동해시,202502,86980,7692
강원특별자치도 동해시,202503,86817,7803
강원특별자치도 동해시,202504,86676,7890
강원특별자치도 동해시,202505,86610,7646
강원특별자치도 동해시,202506,86538,7936
강원특별자치도 동해시,202507,86480,7859
강원특별자치도 동해시,202508,86399,7859
강원특별자치도 동해시,202509,86276,7907
강원특별자치도 동해시,202510,86254,7815
강원특별자치도 동해시,202511,86162,7825
강원특별자치도 동해시,202512,86052,7866
강원특별자치도 동해시,202601,85948,7868
강원특별자치도 동해시,202602,85787,7924
강원특별자치도 동해시,202603,85598,7754
강원특별자치도 동해시,202604,85487,7741
강원특별자치도 동해시,202605,85340,7652
강원특별자치도 동해시,202606,85322,7809
강원특별자치도 동해시,202607,85315,7784
강원특별자치도 삼척시,202307,63049,4671
강원특별자치도 삼척시,202308,62935,4664
강원특별자치도 삼척시,202309,62915,4691
강원특별자치도 삼척시,202310,62788,4628
강원특별자치도 삼척시,202311,62666,4589
강원특별자치도 삼척시,202312,62503,4608
강원특별자치도 삼척시,202401,62164,4737
강원특별자치도 삼척시,202402,61933,4650
강원특별자치도 삼척시,202403,62379,4760
강원특별자치도 삼척시,202404,62360,4735
강원특별자치도 삼척시,202405,62319,4783
강원특별자치도 삼척시,202406,62216,4776
강원특별자치도 삼척시,202407,62191,4775
강원특별자치도 삼척시,202408,62069,4747
강원특별자치도 삼척시,202409,61973,4719
강원특별자치도 삼척시,202410,61858,4755
강원특별자치도 삼척시,202411,61776,4898
강원특별자치도 삼척시,202412,61564,4857
